"filename", "language", "C#", "XML", "comment", "blank", "total"
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\CloudScript\PlayFabCloudScriptAPI.cs", "C#", 113, 0, 48, 45, 206
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\CloudScript\PlayFabCloudScriptInstanceAPI.cs", "C#", 123, 0, 48, 21, 192
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\CloudScript\PlayFabCloudScriptModels.cs", "C#", 611, 0, 446, 45, 1102
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\CloudScript\PlayFabEvents.cs", "C#", 33, 0, 0, 2, 35
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Data\PlayFabDataAPI.cs", "C#", 70, 0, 34, 30, 134
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Data\PlayFabDataInstanceAPI.cs", "C#", 88, 0, 34, 16, 138
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Data\PlayFabDataModels.cs", "C#", 157, 0, 226, 22, 405
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Data\PlayFabEvents.cs", "C#", 23, 0, 0, 2, 25
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Entity\ScreenTimeTracker.cs", "C#", 149, 0, 57, 41, 247
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Events\PlayFabEvents.cs", "C#", 13, 0, 0, 2, 15
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Events\PlayFabEventsAPI.cs", "C#", 35, 0, 18, 15, 68
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Events\PlayFabEventsInstanceAPI.cs", "C#", 53, 0, 18, 11, 82
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Events\PlayFabEventsModels.cs", "C#", 37, 0, 48, 5, 90
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Experimentation\PlayFabEvents.cs", "C#", 35, 0, 0, 2, 37
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Experimentation\PlayFabExperimentationAPI.cs", "C#", 112, 0, 49, 48, 209
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Experimentation\PlayFabExperimentationInstanceAPI.cs", "C#", 130, 0, 49, 22, 201
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Experimentation\PlayFabExperimentationModels.cs", "C#", 262, 0, 374, 35, 671
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Groups\PlayFabEvents.cs", "C#", 59, 0, 0, 2, 61
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Groups\PlayFabGroupsAPI.cs", "C#", 196, 0, 87, 84, 367
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Groups\PlayFabGroupsInstanceAPI.cs", "C#", 214, 0, 87, 34, 335
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Groups\PlayFabGroupsModels.cs", "C#", 351, 0, 585, 50, 986
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Insights\PlayFabEvents.cs", "C#", 21, 0, 0, 2, 23
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Insights\PlayFabInsightsAPI.cs", "C#", 63, 0, 30, 27, 120
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Insights\PlayFabInsightsInstanceAPI.cs", "C#", 81, 0, 30, 15, 126
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Insights\PlayFabInsightsModels.cs", "C#", 92, 0, 132, 12, 236
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Localization\PlayFabEvents.cs", "C#", 11, 0, 0, 2, 13
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Localization\PlayFabLocalizationAPI.cs", "C#", 28, 0, 13, 12, 53
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Localization\PlayFabLocalizationInstanceAPI.cs", "C#", 46, 0, 13, 10, 69
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Localization\PlayFabLocalizationModels.cs", "C#", 18, 0, 6, 3, 27
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Matchmaker\PlayFabEvents.cs", "C#", 19, 0, 0, 2, 21
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Matchmaker\PlayFabMatchmakerAPI.cs", "C#", 52, 0, 23, 23, 98
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Matchmaker\PlayFabMatchmakerInstanceAPI.cs", "C#", 70, 0, 23, 13, 106
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Matchmaker\PlayFabMatchmakerModels.cs", "C#", 115, 0, 168, 14, 297
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Multiplayer\PlayFabEvents.cs", "C#", 137, 0, 0, 2, 139
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Multiplayer\PlayFabMultiplayerAPI.cs", "C#", 468, 0, 209, 201, 878
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Multiplayer\PlayFabMultiplayerInstanceAPI.cs", "C#", 486, 0, 209, 73, 768
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Multiplayer\PlayFabMultiplayerModels.cs", "C#", 1455, 0, 2159, 184, 3798
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Profiles\PlayFabEvents.cs", "C#", 23, 0, 0, 2, 25
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Profiles\PlayFabProfilesAPI.cs", "C#", 70, 0, 33, 30, 133
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Profiles\PlayFabProfilesInstanceAPI.cs", "C#", 88, 0, 33, 16, 137
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Profiles\PlayFabProfilesModels.cs", "C#", 178, 0, 255, 25, 458
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Server\PlayFabEvents.cs", "C#", 275, 0, 0, 2, 277
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Server\PlayFabServerAPI.cs", "C#", 967, 0, 464, 408, 1839
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Server\PlayFabServerInstanceAPI.cs", "C#", 986, 0, 464, 144, 1594
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Server\PlayFabServerModels.cs", "C#", 3354, 0, 3305, 328, 6987
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Editor\MakeSharedSettingsObj.cs", "C#", 17, 0, 0, 5, 22
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Editor\PlayFabHelp.cs", "C#", 23, 0, 0, 4, 27
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\ISerializer.cs", "C#", 89, 0, 11, 9, 109
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabSDK\Shared\Internal\Log.cs", "C#", 40, 0, 0, 5, 45
